discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,334.6474684976387
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,191.25919616960604
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,108.76475450090237
