discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,98375.84727655393
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,62909.020265910294
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,40399.559596155654
