discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,596.9614669994719
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,410.3788670327703
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,280.166546640035
