discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,4328.771997364792
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,3407.7937227487496
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,2748.8239345822144
