discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,1496.3057902155717
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,853.7594126226693
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,467.61356676067163
