discount_rate,menu_option,sector,weitzman_parameter,discount_type,simulation,scghg
1.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,81438.39121841277
2.0% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,49428.73501158352
2.5% Ramsey,risk_aversion,combined,0.5,euler_ramsey,0,30033.19737654019
